Type,ai,Volume.lbs,Base.Area.Treated.sum,nYears,Base.Area.perYear,Volume.perYear,source,cas.number,ConcType,Effect,LifeStage,ExposureType,Endpoint,ObservedDuration.d,ObsRespMean,ToxUnit,AgroTrakName
Fungicide,TETRACONAZOLE,567523,9059628,16,566227,35470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,BENZOVINDIFLUPYR,489213,18716212,5,3743242,97843,EcotoxExport,1072957711,Active ingredient,Mortality,Adult,Food,LD50,2,109,AI ug/org,BENZOVINDIFLUPYR
Fungicide,FLUTRIAFOL,414480,5866079,14,419006,29606,EcotoxExport,76674210,Active ingredient,Mortality,Adult,Food,LD50,2,2,AI ug/org,FLUTRIAFOL
Fungicide,FLUOXASTROBIN,371456,6405390,11,582308,33769,EcotoxExport,361377299,Active ingredient,Mortality,Adult,Food,LD50,2,843.3,AI ug/org,FLUOXASTROBIN
Fungicide,CYPROCONAZOLE,368896,11591310,12,965942,30741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,PHOSPHORIC ACID,358329,368801,8,46100,44791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,PYDIFLUMETOFEN,271865,3940769,2,1970384,135932,EcotoxExport,1228284647,Active ingredient,Mortality,Adult,Food,LD50,2,116,AI ug/org,PYDIFLUMETOFEN
Fungicide,MEFENTRIFLUCONAZOLE,167116,1814301,2,907150,83558,EcotoxExport,1417782036,Formulation,Mortality,Adult,Food,LD50,2,52,AI ug/org,MEFENTRIFLUCONAZOLE
Fungicide,COPPER SULFATE,156678,52226,2,26113,78339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,PETROLEUM OIL,107601,16554,1,16554,107601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,BOSCALID,106757,350558,6,58426,17793,EcotoxExport,188425856,Active ingredient,Mortality,Adult,Food,LD50,2,166,AI ug/org,BOSCALID
Fungicide,MANCOZEB,84443,73934,5,14787,16889,ManuallyAdded,8018017,Active ingredient,Mortality,Adult,Food,LD50,999,178.87,NA,MANCOZEB
Fungicide,FLUSILAZOLE,37111,434074,2,217037,18556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,BIXAFEN,33183,585370,2,292685,16592,EcotoxExport,581809463,Active ingredient,Mortality,Adult,Food,LD50,2,121.4,AI ug/org,BIXAFEN
Fungicide,BACILLUS AMYLOLIQUEFACIEN,26338,11868,3,3956,8779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,FLUAZINAM,23892,48052,4,12013,5973,ManuallyAdded,79622596,Active ingredient,Mortality,Adult,Food,LD50,999,100,NA,FLUAZINAM
Fungicide,COPPER HYDROXIDE,18951,106661,3,35554,6317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,CALCIUM POLYSULFIDE,16489,11820,1,11820,16489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,MYCLOBUTANIL,8772,103716,4,25929,2193,EcotoxExport,88671890,Active ingredient,Mortality,Adult,Food,LD50,2,500,AI ug/org,MYCLOBUTANIL
Fungicide,REYNOUTRIA SACHALINENSIS,3826,69450,4,17362,956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,COPPER OXYCHLORIDE,3752,42321,1,42321,3752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,FENTIN,2708,21654,1,21654,2708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,BACILLUS SUBTILIS,1733,42018,4,10504,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,PENTHIOPYRAD,1476,10838,2,5419,738,EcotoxExport,183675823,Formulation,Mortality,Adult,Food,LD50,2,56.7,AI ug/org,PENTHIOPYRAD
Fungicide,BENOMYL,1312,8464,1,8464,1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,MEFENOXAM,1032,33072,1,33072,1032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,FLUOPYRAM,1025,9825,1,9825,1025,EcotoxExport,658066354,Active ingredient,Mortality,Adult,Food,LD50,2,92.5,AI ug/org,FLUOPYRAM
Fungicide,MANEB,595,2084,1,2084,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,ASPERGILLUS FLAVUS,402,370397,7,52914,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,BACILLUS PUMILIS,275,79766,5,15953,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,CAPTAN,147,2199,1,2199,147,EcotoxExport,133062,Active ingredient,Mortality,Adult,Food,LD50,3,107,AI ug/org,CAPTAN
Fungicide,FENHEXAMID,39,2199,1,2199,39,EcotoxExport,126833178,Active ingredient,Mortality,Adult,Food,LD50,2,100,AI ug/org,FENHEXAMID
Fungicide,HARPIN PROTEIN,15,16190,2,8095,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,ZINC,15,2084,1,2084,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,GLYPHOSATE,3333327738,2634583284,23,114547099,144927293,EcotoxExport,1071836,Active ingredient,Mortality,Adult,Food,LD50,2,182,AI ug/org,GLYPHOSATE (H)
Herbicide,ATRAZINE,1450802425,1216510348,23,52891754,63078366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,ACETOCHLOR,816202470,540886026,23,23516784,35487064,EcotoxExport,34256821,Active ingredient,Mortality,Adult,Food,LD50,2,100,AI ug/org,ACETOCHLOR
Herbicide,METOLACHLOR-S,721938002,579903853,23,25213211,31388609,EcotoxExport,87392129,Active ingredient,Mortality,Adult,Food,LD50,3,85,AI ug/org,METOLACHLOR-S
Herbicide,"2,4-D",240883785,412919640,23,17953028,10473208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,METOLACHLOR,168815969,107768461,23,4685585,7339825,EcotoxExport,51218452,Active ingredient,Mortality,Adult,Food,LD50,2,110,AI ug/org,METOLACHLOR
Herbicide,DICAMBA,121943656,398895833,23,17343297,5301898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,PENDIMETHALIN,118609234,123294321,23,5360623,5156923,EcotoxExport,40487421,Active ingredient,Mortality,Adult,Food,LD50,2,101.2,AI ug/org,PENDIMETHALIN
Herbicide,GLUFOSINATE,78620380,137232434,23,5966628,3418277,ManuallyAdded,51276472,Formulation,Mortality,Adult,Food,LD50,999,100,NA,GLUFOSINATE (H)
Herbicide,TRIFLURALIN,62922733,72808847,23,3165602,2735771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,SIMAZINE,56067640,50876455,23,2212020,2437723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,DIMETHENAMID,54660987,58632844,23,2549254,2376565,EcotoxExport,87674688,Active ingredient,Mortality,Adult,Food,LD50,2,94,AI ug/org,DIMETHENAMID
Herbicide,DIMETHENAMID-P,53297392,92261523,21,4393406,2537971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,ALACHLOR,52934823,28713098,22,1305141,2406128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,MESOTRIONE,48348975,410866984,20,20543349,2417449,EcotoxExport,104206828,Active ingredient,Mortality,Adult,Food,LD50,2,11,AI ug/org,MESOTRIONE
Herbicide,PARAQUAT,45953392,79193492,23,3443195,1997974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,FOMESAFEN,45155678,186252735,23,8097945,1963290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,METRIBUZIN,34552724,148443613,23,6454070,1502292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,SULFENTRAZONE,28451048,174474326,23,7585840,1237002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,CYANAZINE,18820149,11803936,11,1073085,1710923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,EPTC,17270485,5180135,13,398472,1328499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,CLOPYRALID,16654136,192293864,23,8360603,724093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,SULFOSATE,15311914,10662949,9,1184772,1701324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,CLETHODIM,12298959,129014862,23,5609342,534737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,BENTAZONE,10926027,17567593,23,763808,475045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,FLUMIOXAZIN,9900083,150440757,20,7522038,495004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,IMAZETHAPYR,8639578,168872351,23,7342276,375634,EcotoxExport,81335775,Active ingredient,Mortality,Adult,Food,LD50,2,100,AI ug/org,IMAZETHAPYR
Herbicide,ISOXAFLUTOLE,8630504,142010026,23,6174349,375239,ManuallyAdded,141112290,Active ingredient,Mortality,Adult,Food,LD50,999,168.7,NA,ISOXAFLUTOLE
Herbicide,PYROXASULFONE,7697807,73690376,9,8187820,855312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,FLUFENACET,7030274,19118352,21,910398,334775,EcotoxExport,142459583,Active ingredient,Mortality,Adult,Food,LD50,2,109.2,AI ug/org,FLUFENACET
Herbicide,ACIFLUORFEN,6858598,27733909,23,1205822,298200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,FLUMETSULAM,6089133,181193386,23,7877973,264745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,BROMOXYNIL,5101952,17665988,23,768086,221824,EcotoxExport,1689845,Active ingredient,Mortality,Adult,Food,LD50,2,3.3,AI ug/org,BROMOXYNIL
Herbicide,TEMBOTRIONE,4937766,66904451,13,5146496,379828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,LACTOFEN,4552533,33360778,23,1450469,197936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,CLOMAZONE,4277164,6349017,21,302334,203674,EcotoxExport,81777891,Active ingredient,Mortality,Adult,Food,LD50,2,85.29,AI ug/org,CLOMAZONE
Herbicide,FLUAZIFOP,4099069,36072176,23,1568355,178220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,SAFLUFENACIL,3631386,104026780,11,9456980,330126,EcotoxExport,372137354,Formulation,Mortality,Adult,Food,LD50,2,120.9,AI ug/org,SAFLUFENACIL (H)
Herbicide,CHLORIMURON,3597612,197754526,23,8598023,156418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,DIFLUFENZOPYR,3494261,95436246,22,4338011,158830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,ETHALFLURALIN,2613479,2970229,22,135010,118794,EcotoxExport,55283686,Active ingredient,Mortality,Adult,Food,LD50,2,97,AI ug/org,ETHALFLURALIN
Herbicide,NICOSULFURON,2330125,115188703,23,5008204,101310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,CLORANSULAM-METHYL,2306900,110829053,23,4818654,100300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,IMAZAQUIN,2133354,24014084,23,1044091,92755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,SETHOXYDIM,1984878,11114673,23,483247,86299,EcotoxExport,74051802,Active ingredient,Mortality,Adult,Food,LD50,2,200.2,AI ug/org,SETHOXYDIM
Herbicide,AMETRYN,1831290,1630909,15,108727,122086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,RIMSULFURON,1811613,134398520,23,5843414,78766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,THIENCARBAZONE-METHYL,1774167,76341751,12,6361813,147847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,BUTYLATE,1688442,436205,11,39655,153495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,LINURON,1205018,2150052,23,93481,52392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,BICYCLOPYRONE,1150496,33813814,6,5635636,191749,EcotoxExport,352010685,Formulation,Mortality,Adult,Food,LD50,2,195.2,AI ug/org,BICYCLOPYRONE
Herbicide,IMAZAMOX,895158,28171798,23,1224861,38920,EcotoxExport,114311329,Active ingredient,Mortality,Adult,Food,LD50,2,40,AI ug/org,IMAZAMOX
Herbicide,PYRIDATE,880848,1542193,5,308439,176170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,QUIZALOFOP,838135,17790712,23,773509,36441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,PRIMISULFURON,765822,35260567,23,1533068,33297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,FLUROXYPYR,746929,6086186,18,338121,41496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,THIFENSULFURON,743872,97921645,23,4257463,32342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,TOPRAMEZONE,730952,47412025,15,3160802,48730,EcotoxExport,210631688,Formulation,Mortality,Adult,Food,LD50,2,108.3,ug/bee,TOPRAMEZONE
Herbicide,"2,4-DB",625735,5466580,23,237677,27206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,FENOXAPROP,580934,15796357,23,686798,25258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,PROPACHLOR,547342,258782,5,51756,109468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,FLUMICLORAC,444464,20492690,23,890987,19325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,OXYFLUORFEN,330684,1740217,16,108764,20668,EcotoxExport,42874033,Active ingredient,Mortality,Adult,Food,LD50,2,109,AI ug/org,OXYFLUORFEN
Herbicide,HALOSULFURON,318243,9981439,23,433976,13837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,DIURON,250018,496511,14,35465,17858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,IMAZAPYR,234692,17418110,16,1088632,14668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,CARFENTRAZONE-ETHYL,215840,20387206,22,926691,9811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,PROSULFURON,182641,16871834,23,733558,7941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,FLUTHIACET-METHYL,173037,42637215,13,3279786,13311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,FORAMSULFURON,155314,5780389,14,412885,11094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,TRIBENURON METHYL,144351,17094280,22,777013,6561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,MCPA,103488,159658,3,53219,34496,EcotoxExport,94746,Active ingredient,Mortality,Adult,Food,LD50,2,194,AI ug/org,MCPA
Herbicide,NAPTALAM,90763,31687,2,15844,45382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,PELARGONIC ACID,89937,93611,4,23403,22484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,NORFLURAZON,62027,80974,6,13496,10338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,VERNOLATE,53384,20337,1,20337,53384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,TRICLOPYR,21002,162636,4,40659,5250,EcotoxExport,55335063,Active ingredient,Mortality,Adult,Food,LD50,2,99,AI ug/org,TRICLOPYR
Herbicide,DIMETHYLARSINIC ACID,15255,4101,1,4101,15255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,MSMA,9900,17591,1,17591,9900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,IODOSULFURON,7938,4916507,18,273139,441,ManuallyAdded,185119760,Active ingredient,Mortality,Adult,Food,LD50,999,81,NA,IODOSULFURON
Herbicide,PROMETRYN,6613,6613,1,6613,6613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,CHLORSULFURON,5381,500704,13,38516,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,TRI-ALLATE,5302,7050,1,7050,5302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,TETRAOXOSULFATE,4232,2981,1,2981,4232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,HALAUXIFEN,1968,432674,3,144225,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,PYRAFLUFEN ETHYL,1728,822154,14,58725,123,EcotoxExport,129630199,Active ingredient,Mortality,Adult,Food,LD50,2,111.99,AI ug/org,PYRAFLUFEN ETHYL (H)
Herbicide,METSULFURON,1688,617970,15,41198,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,TOLPYRALATE,1614,55354,2,27677,807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,QUINCLORAC,957,4085,1,4085,957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,AMINOPYRALID,226,2742,1,2742,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbicide,TRALKOXYDIM,112,2491,1,2491,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,CHLORPYRIFOS,66921639,98588798,23,4286469,2909636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,TERBUFOS,23909771,23372498,23,1016196,1039555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,PROPARGITE,18819098,9807937,23,426432,818222,EcotoxExport,2312358,Formulation,Mortality,Adult,Food,LD50,2,100,AI ug/org,PROPARGITE
Insecticide,ACEPHATE,10513728,13378764,18,743265,584096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,TEFLUTHRIN,8490468,68407115,23,2974222,369151,EcotoxExport,79538322,Active ingredient,Mortality,Adult,Food,LD50,2,1.74,AI ug/org,TEFLUTHRIN
Insecticide,BIFENTHRIN,7015240,105220460,23,4574803,305010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,TEBUPIRIMPHOS,6545260,51801286,23,2252230,284577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,CARBOFURAN,4415091,5734600,13,441123,339622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,CYHALOTHRIN-LAMBDA,3662699,149297262,23,6491185,159248,EcotoxExport,91465086,Formulation,Mortality,Adult,Food,LD50,2,0.483,AI ug/org,CYHALOTHRIN-LAMBDA
Insecticide,PHORATE,2907865,2700439,18,150024,161548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,METHYL PARATHION,2803442,5974570,21,284503,133497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,PERMETHRIN,2042572,20263550,23,881024,88807,EcotoxExport,52645531,Active ingredient,Mortality,Adult,Food,LD50,2,0.131,AI ug/org,PERMETHRIN
Insecticide,SULFUR,1863520,167081,7,23869,266217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,DIMETHOATE,1652973,4207333,23,182928,71868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,FIPRONIL,1620128,15253739,16,953359,101258,EcotoxExport,120068373,Active ingredient,Mortality,Adult,Food,LD50,2,0.00405,AI ug/org,FIPRONIL
Insecticide,CYFLUTHRIN,1186002,87437198,23,3801617,51565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,CARBARYL,915798,1305304,23,56752,39817,EcotoxExport,63252,Active ingredient,Mortality,Adult,Food,LD50,2,46,AI ug/org,CARBARYL (I)
Insecticide,CHLORETHOXYFOS,809469,4895554,23,212850,35194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,SPIROMESIFEN,680768,5515211,16,344701,42548,EcotoxExport,283594901,Formulation,Mortality,Adult,Food,LD50,2,64.1,AI ug/org,SPIROMESIFEN
Insecticide,IMIDACLOPRID,670925,15196287,14,1085449,47923,EcotoxExport,138261413,Active ingredient,Mortality,Adult,Food,LD50,2,0.0039,AI ug/org,IMIDACLOPRID
Insecticide,CHLORANTRANILIPROLE,565899,10895794,9,1210644,62878,EcotoxExport,500008457,Formulation,Mortality,Adult,Food,LD50,3,0.427,AI ug/org,CHLORANTRANILIPROLE
Insecticide,MALATHION,533095,817132,20,40857,26655,EcotoxExport,121755,Active ingredient,Mortality,Adult,Food,LD50,2,1.66,AI ug/org,MALATHION
Insecticide,ZETA-CYPERMETHRIN,512639,32171104,19,1693216,26981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,ESFENVALERATE,473124,14202770,23,617512,20571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,DICHLOROPROPENE,445247,21698,3,7233,148416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,ALDICARB,332965,516450,6,86075,55494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,HEXYTHIAZOX,316636,2833128,12,236094,26386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,FLUBENDIAMIDE,308230,4538107,7,648301,44033,EcotoxExport,272451657,Formulation,Mortality,Adult,Food,LD50,2,200,AI ug/org,FLUBENDIAMIDE
Insecticide,THIAMETHOXAM,298971,8435025,14,602502,21355,EcotoxExport,153719234,Formulation,Mortality,Adult,Food,LD50,2,0.00309,AI ug/org,THIAMETHOXAM
Insecticide,METHOXYFENOZIDE,277436,2783499,18,154639,15413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,CHLOROPICRIN,253218,21698,3,7233,84406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,DIAZINON,189480,244377,9,27153,21053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,FONOFOS,187321,207119,3,69040,62440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,ETOXAZOLE,134863,1485730,9,165081,14985,EcotoxExport,153233911,Active ingredient,Mortality,Adult,Food,LD50,2,200,AI ug/org,ETOXAZOLE
Insecticide,CYPERMETHRIN,133655,2239233,21,106630,6365,EcotoxExport,52315078,Formulation,Mortality,Adult,Food,LD50,2,0.114,AI ug/org,CYPERMETHRIN
Insecticide,METHOMYL,128141,401808,14,28701,9153,EcotoxExport,16752775,Active ingredient,Mortality,Adult,Food,LD50,2,34.3,AI ug/org,METHOMYL
Insecticide,DIFLUBENZURON,101864,2275008,17,133824,5992,EcotoxExport,35367385,Active ingredient,Mortality,Adult,Food,LD50,2,9.1,AI ug/org,DIFLUBENZURON
Insecticide,CYHALOTHRIN-GAMMA,97642,11285601,17,663859,5744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,THIODICARB,93406,313149,9,34794,10378,EcotoxExport,59669260,Active ingredient,Mortality,Adult,Food,LD50,2,0.13,AI ug/org,THIODICARB
Insecticide,BACILLUS THURINGIENSIS,83249,514044,17,30238,4897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,INDOXACARB,68839,1035833,11,94167,6258,EcotoxExport,173584446,Active ingredient,Mortality,Adult,Food,LD50,2,0.204,AI ug/org,INDOXACARB
Insecticide,ALPHA-CYPERMETHRIN,67335,3224303,8,403038,8417,ManuallyAdded,67375308,Active ingredient,Mortality,Adult,Food,LD50,999,0.172,NA,ALPHA-CYPERMETHRIN
Insecticide,BIFENAZATE,60544,187178,2,93589,30272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,DELTAMETHRIN,52081,2695700,17,158571,3064,EcotoxExport,52918635,Active ingredient,Mortality,Adult,Food,LD50,3,0.191,AI ug/org,DELTAMETHRIN
Insecticide,ETHOPROPHOS,48339,40067,7,5724,6906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,SPINETORAM,36020,1713365,8,214171,4502,EcotoxExport,935545747,Formulation,Mortality,Adult,Food,LD50,4,0.11,AI ug/org,SPINETORAM
Insecticide,DISULFOTON,28410,24935,3,8312,9470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Insecticide,CLOTHIANIDIN,26466,526514,5,105303,5293,EcotoxExport,210880925,Active ingredient,Mortality,Adult,Food,LD50,2,0.00368,AI ug/org,CLOTHIANIDIN
Insecticide,FENPYROXIMATE,13858,142568,8,17821,1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
